,Job Title,Company,City,Description,Days On Indeed,URL
491,Graduate Studies Program - Data Scientist,Central Intelligence Agency,"Alexandria, VA 22311 (Alexandria West area)","As a Data Scientist Graduate Intern for the CIA, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision…",30+,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AF-trXmOgtyCwioKtrEl8yaVFL4BmZPgj5ekSBDDCZjYyztgCjYk9Nn1Yk0fikpBCXlbJRto7tbrtR6ny1gwoDYbGX4DLgV4jACPGKx-78S7ubsJe0cRVFqwrXomGJVxXuVov68Tz-VjWixzObefPCyN4hofwtIqHyq2I1IshXUEvUe2slKEEpSN4XLj12mySa4OChuqFpf4LSDDsHCMKnEE6Z5i5w4P6Ra_k4aPvSwoWRuTFLnYs5YTmyE_-33zP2NdiSAQ-iJDuJfjMwXtYf0cozIdTzhYl0kTQg6mxG9VWkmMYnX5tw1sjDXT7QmsjEpwElUZSE9I7xy6Btx8mOawoAF6NNz8lPA4DJzcsdw0v-h6gFX2JbqV221k_7HfA511mPfCSQwg6XlKnrOankPOQiB7AjH79bRkgfVOPR13dPv1jMoMbkuJwEsXAN-QQcuvagqZxtBgLUUmtqB0edpsWUV277hzlQvs66vRDN5A0Kxr5m2pQANIDMz3PntNoazjt11cuOtbiCA_DXAqQVVzdczo6lwytKb_cNtx4Btg==&p=4&fvj=0&vjs=3
492,Research Intern- Human Rights Initiative (Spring 2020),Center For Strategic And International Studies,"Alexandria, VA 22311 (Alexandria West area)","Maintain and update program data, including research materials and program mailing lists. The CSIS Human Rights Initiative (HRI) seeks two (2) research interns…",30+,www.indeed.com/rc/clk?jk=f34eaf008e260dca&fccid=a8944406753ba1dc&vjs=3
493,Intern - Technology Policy Program (Spring 2020),Center For Strategic And International Studies,"Alexandria, VA 22311 (Alexandria West area)","CSIS seeks a technology policy intern to support the Technology Policy Program. Compiling research and data into literature reviews, summaries, backgrounders,…",30+,www.indeed.com/rc/clk?jk=5848bb860495065c&fccid=a8944406753ba1dc&vjs=3
494,Intern - Burke Chair in Strategy (Spring 2020),Center For Strategic And International Studies,"Alexandria, VA 22311 (Alexandria West area)",Conducting qualitative and quantitative data research to be used in analyzing trends in the geopolitical landscape; PHYSICAL REQUIREMENTS AND WORK CONDITIONS:,30+,www.indeed.com/rc/clk?jk=fb569e544a083d7f&fccid=a8944406753ba1dc&vjs=3
495,Research Intern - Defense-Industrial Initiatives Group (Spri...,Center For Strategic And International Studies,"Alexandria, VA 22311 (Alexandria West area)",Assisting with data collection and management. DIIG is looking for an intern who is able to start in January. The Defense-Industrial Initiatives Group (DIIG) is…,30+,www.indeed.com/rc/clk?jk=7da90946fa1dc5f5&fccid=a8944406753ba1dc&vjs=3
496,Computer Security System Specialist,CACI,"Alexandria, VA 22311 (Alexandria West area)",Collects network intrusion artifacts and use discovered data to enable mitigation of potential CND hunts and incidents. What You’ll Get to Do:,30+,www.indeed.com/rc/clk?jk=8a5f07605a0ea53d&fccid=290a4498a64fc044&vjs=3
497,Strategic Internship Program - Data and Technology Strategic...,JP Morgan Chase,"Alexandria, VA 22311 (Alexandria West area)","Demonstrates ability to develop data pipelines (i.e., ETL), data quality automation and evaluation, and data. Engage with analysts, Research Directors, Research…",30+,www.indeed.com/rc/clk?jk=ab63ff5baa03ef61&fccid=c46d0116f6e69eae&vjs=3
498,Geospatial Analyst Intern,Maxar Technologies,"Alexandria, VA 22311 (Alexandria West area)",Maxar is looking for a Geospatial Analyst Intern who has a passion for open source GIS data and technology to join our 2020 Summer Internship Program.,30+,www.indeed.com/rc/clk?jk=4283637824aa3a66&fccid=9f02eee31b134261&vjs=3
499,Geospatial Software Development Intern,Maxar Technologies,"Alexandria, VA 22311 (Alexandria West area)",Maxar is looking for a Geospatial Software Development Intern who has a passion for open source GIS data and technology. Please review the job details below.,30+,www.indeed.com/rc/clk?jk=00eb909dfc703a76&fccid=9f02eee31b134261&vjs=3
500,Intern - Korea Chair (Spring 2020),Center For Strategic And International Studies,"Alexandria, VA 22311 (Alexandria West area)",Compiling and coding qualitative data. Compiling and coding qualitative data. Experience or coursework in compiling and coding qualitative data.,30+,www.indeed.com/rc/clk?jk=c5d40604cb99c16b&fccid=a8944406753ba1dc&vjs=3
501,Threat Intelligence Analyst Internships - Summer 2020,"FireEye, Inc.","Alexandria, VA 22311 (Alexandria West area)",Experience with analyzing large data sets to identify notable conclusions or actionable trends for reporting. The internship will include on-the-job training to…,30+,www.indeed.com/rc/clk?jk=b357cf82b7e10824&fccid=5ed3d6e8b04e853e&vjs=3
502,Graduate Studies Program - Data Scientist,Central Intelligence Agency,"Washington, DC","As a Data Scientist Graduate Intern for the CIA, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision…",30+,www.indeed.com/cmp/Central-Intelligence-Agency
